Site,Date_mm/dd/yy,Avg_Depth_m,Start_Time,Duration_min,Visibility_m,Weather,Current,Boats,Researcher,Parrotfish,Rabbitfish,Butterflyfish,Angelfish,Cleaner_Wrasse,Batfish,Thicklip,Red_Breast,Slingjaw,Sweetlips,Squirrel/Soldier,Triggerfish,Porcupine/Puffer,Ray,Snapper<30,Snapper>30,Eel,Trevally,Emperorfish,Grouper<30,Grouper>30,Barracuda,Total_abundance_N
White Rock,02/06/2025,NA,9:30,25,12,2,None,9,Gavin,40,94,88,2,14,0,3,18,4,1,116,2,0,0,208,0,3,6,10,91,16,0,716
Twins,02/10/2025,9.5,15:10,25,12,3,None,13,Georgia ,22,11,34,2,6,0,9,15,7,0,3,1,0,2,0,0,0,5,8,25,4,0,154
Twins,02/10/2025,9.5,15:10,25,12,3,None,13,Max ,28,17,35,4,3,0,13,17,5,0,2,1,0,0,0,0,0,2,9,29,6,0,171
Twins wall,02/12/2025,7,13:01,22,10,1,None,NA,Bjarne,95,61,42,0,10,0,9,10,3,2,0,2,0,0,10,0,0,2,0,26,4,0,276
Twins wall,02/12/2025,7,13:01,22,10,1,None,NA,Jen,95,42,24,10,16,0,21,19,6,0,25,2,0,0,5,5,0,4,2,16,3,0,295
Red Rock,02/12/2025,9.5,7:24,25,7.5,1,Light,1,Max,107,66,74,0,2,0,6,7,3,0,7,6,0,0,24,0,0,14,0,12,5,0,333
Red Rock,02/12/2025,9.5,7:24,25,7.5,1,Light,1,Olive,111,46,66,3,3,0,8,5,7,0,3,5,0,0,22,1,0,10,1,25,6,1,323
Green Rock,02/19/2025,10,7:26,25,12,2,None,1,Ben,133,44,36,1,8,0,5,10,4,0,0,4,0,0,37,0,0,4,3,53,0,0,342
Green Rock,02/19/2025,10,7:26,25,12,2,None,1,Scar,138,86,46,1,21,0,8,15,4,0,0,4,0,0,58,1,0,4,5,81,2,0,474
Twins,03/04/2025,12,15:03,25,10,2,Light,19,Martin,27,90,21,1,5,0,6,19,11,0,0,0,1,0,0,0,0,0,4,16,4,,205
Twins,03/04/2025,12,15:03,25,10,2,Light,19,Gav,54,161,26,2,7,0,6,17,13,0,2,0,1,0,0,0,0,2,9,30,8,0,338
White Rock,03/11/2025,15,9:46,25,10,5,Light,8,Elise,28,26,38,2,11,0,3,13,7,0,4,3,0,0,46,0,0,1,12,95,0,2,291
White Rock,03/11/2025,15,9:46,25,10,5,Light,8,Camille,28,22,51,2,8,0,7,20,0,0,11,3,0,0,67,0,0,4,20,55,0,2,300
Red Rock,03/11/2025,10,7:35,25,10,1,None,2,Max,96,70,63,3,5,0,6,16,8,0,24,1,0,0,0,0,0,4,0,31,1,0,328
Red Rock,03/11/2025,10,7:35,25,10,1,None,2,Phoebe,100,75,68,3,14,0,10,11,12,0,18,3,0,0,0,0,0,9,1,37,4,0,365
Green Rock,03/24/2025,11,7:23,25,15,1,None,6,Olive,115,46,68,6,13,0,11,17,7,0,4,16,0,0,43,2,0,3,2,41,8,140,542
Green Rock,03/24/2025,11,7:23,25,15,1,None,6,Phoebe,135,58,62,3,16,1,15,20,7,0,4,16,0,0,40,1,0,2,1,26,10,140,557
Twins,03/31/2025,10.4,15:43,25,10,3,Light,5,Tessa,34,24,30,2,8,0,0,21,13,0,0,2,2,0,0,0,0,7,5,15,11,0,174
Twins,03/31/2025,10.3,15:43,25,10,3,Light,5,Emma,35,16,38,2,8,0,6,23,22,0,0,2,1,0,0,0,0,10,11,13,8,0,195
Twins,03/31/2025,10.1,15:45,25,10,3,Light,5,Renzo,36,12,28,2,3,0,1,25,15,0,0,2,0,0,1,1,0,11,7,19,10,0,173
Twins,03/31/2025,10.1,15:45,25,10,3,Light,5,Camille,41,14,29,1,3,0,4,32,22,0,0,1,0,0,0,0,0,7,8,20,2,0,184
Twins,03/31/2025,10.1,15:40,25,10,3,Light,5,Phoebe,43,12,42,5,16,0,5,33,15,0,5,3,2,0,0,0,0,3,10,28,1,0,223
Green Rock ,04/08/2025,11.4,9:15,25,5,2,Light,1,Tessa,39,89,46,2,8,0,7,5,9,0,0,2,0,0,26,1,0,34,0,31,16,38,353
Green Rock ,04/08/2025,11.4,9:08,25,5,2,Light,1,Emma,55,92,52,2,15,0,11,16,7,0,2,2,0,0,16,0,0,51,1,25,11,45,403
Red Rock,04/08/2025,11,7:15,25,8,2,None,0,Tessa,59,47,46,4,4,1,7,12,6,1,27,1,0,0,116,4,0,8,1,47,10,4,405
Red Rock,04/08/2025,10.9,7:16,25,8,2,None,0,Emma,63,64,63,4,8,1,10,16,13,0,23,1,0,0,111,1,0,8,2,38,2,4,432
White Rock,04/23/2025,16,9:13,25,25,2,None,9,Renzo,36,18,41,5,7,0,9,14,3,0,25,3,0,0,82,0,0,16,14,48,12,0,333
White Rock,04/23/2025,16,9:13,25,25,2,None,9,Tessa,38,26,63,6,12,0,10,19,2,0,35,1,0,0,90,0,0,16,10,66,14,0,408
